epoch,train_loss,validation_loss,train_mean_accuracy,validation_mean_accuracy,train_accuracy__segmentation,validation_accuracy__segmentation
1,1.04828332434,1.03652677545,0.663371598639,0.671130952381,0.663371598639,0.671130952381
2,0.617628522473,0.615699754422,0.788407029478,0.780092592593,0.788407029478,0.780092592593
3,0.423265835517,0.420920632652,0.852147108844,0.846560846561,0.852147108844,0.846560846561
4,0.338099188369,0.33983700959,0.880952380952,0.874834656085,0.880952380952,0.874834656085
5,0.293044717144,0.298085550708,0.892928004535,0.890707671958,0.892928004535,0.890707671958
6,0.265677999076,0.275171875618,0.904159580499,0.900297619048,0.904159580499,0.900297619048
7,0.24375202712,0.256504304716,0.912308673469,0.905919312169,0.912308673469,0.905919312169
8,0.228283970637,0.242763354798,0.918402777778,0.910052910053,0.918402777778,0.910052910053
9,0.218250812017,0.239620880673,0.922867063492,0.911541005291,0.922867063492,0.911541005291
10,0.210680147054,0.22939610445,0.924922052154,0.916501322751,0.924922052154,0.916501322751
11,0.206243541363,0.235290925536,0.926941609977,0.913525132275,0.926941609977,0.913525132275
12,0.199664288446,0.227420723289,0.929032029478,0.915343915344,0.929032029478,0.915343915344
13,0.196078249148,0.220650846102,0.9304138322,0.915674603175,0.9304138322,0.915674603175
14,0.191648165871,0.221498160329,0.932681405896,0.916997354497,0.932681405896,0.916997354497
15,0.189377189925,0.220338196668,0.933000283447,0.915509259259,0.933000283447,0.915509259259
16,0.186016156574,0.22271872585,0.935126133787,0.914351851852,0.935126133787,0.914351851852
17,0.183343779625,0.22276502021,0.934204931973,0.914682539683,0.934204931973,0.914682539683
18,0.181866266427,0.215865713081,0.935161564626,0.915343915344,0.935161564626,0.915343915344
19,0.178832302047,0.21961356912,0.93643707483,0.914847883598,0.93643707483,0.914847883598
20,0.177418463783,0.221521615006,0.936649659864,0.916501322751,0.936649659864,0.916501322751
21,0.173201060903,0.21304698028,0.937818877551,0.92046957672,0.937818877551,0.92046957672
22,0.171136975611,0.210869776454,0.939767573696,0.919808201058,0.939767573696,0.919808201058
23,0.172121786032,0.222298777272,0.938775510204,0.917162698413,0.938775510204,0.917162698413
24,0.167751510666,0.2180625856,0.940972222222,0.917328042328,0.940972222222,0.917328042328
25,0.166414947547,0.21692768578,0.941184807256,0.916170634921,0.941184807256,0.916170634921
26,0.163860437678,0.210402961343,0.943416950113,0.920138888889,0.943416950113,0.920138888889
27,0.163271636475,0.212942410234,0.942850056689,0.917658730159,0.942850056689,0.917658730159
28,0.164857614916,0.218886033117,0.942424886621,0.91583994709,0.942424886621,0.91583994709
29,0.160309167383,0.211509390255,0.943700396825,0.917658730159,0.943700396825,0.917658730159
30,0.158034248366,0.215175878483,0.944160997732,0.913855820106,0.944160997732,0.913855820106
31,0.157523293618,0.218583218365,0.946003401361,0.916335978836,0.946003401361,0.916335978836
32,0.157453199039,0.217473354957,0.944160997732,0.916335978836,0.944160997732,0.916335978836
33,0.155165463038,0.212229537379,0.945471938776,0.917493386243,0.945471938776,0.917493386243
34,0.153889400704,0.211737273476,0.945826247166,0.915674603175,0.945826247166,0.915674603175
35,0.154309110308,0.21775632525,0.946641156463,0.913525132275,0.946641156463,0.913525132275
36,0.149768132628,0.21170888177,0.947774943311,0.916666666667,0.947774943311,0.916666666667
